37:2;36:2;34:2;33:2;0:0;1:1;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0;24:0;25:0;26:0;27:0;28:0;29:0;30:0;31:0;32:0;35:2;
0:0,1:1,-0.5144494708583187,1,1
3:0,1:1,0.034102443704621704,2,1
4:0,1:1,0.5581132673881607,3,1
5:0,1:1,-0.2032494073599456,4,1
6:0,1:1,0.5680584009661944,5,1
7:0,1:1,-0.5712815014252838,6,1
8:0,1:1,-0.3221662982006398,7,0
9:0,1:1,0.6679350429233603,8,1
10:0,1:1,0.3457382558822482,9,1
11:0,1:1,0.4499078410048133,10,1
12:0,1:1,0.2432993706343142,11,1
13:0,1:1,-0.6141538490237916,12,1
14:0,1:1,-0.34297086014557243,13,1
15:0,1:1,0.7473303416142967,14,1
16:0,1:1,0.12635667308051604,15,1
17:0,1:1,-0.05687547522815678,16,1
18:0,1:1,0.02485574178211644,17,1
19:0,1:1,0.21875157410400622,18,1
20:0,1:1,-0.22413166693696682,19,1
21:0,1:1,0.23905672864141292,20,1
22:0,1:1,-0.4896134944282212,21,1
23:0,1:1,0.05242743576760578,22,1
24:0,1:1,0.9984724204563857,23,1
25:0,1:1,0.523229983899678,24,0
26:0,1:1,1.1354865487544858,25,1
27:0,1:1,0.05475559622723483,26,1
28:0,1:1,-0.028562161497246136,27,1
29:0,1:1,0.3200171745058288,28,1
30:0,1:1,0.23383253908532342,29,1
31:0,1:1,0.31487030769264635,30,0
32:0,1:1,-0.28470469949701793,31,1
0:0,33:2,1.1,34,1
33:2,1:1,-0.4243533510156152,33,1
32:0,34:2,-0.41048153438959895,56,1
34:2,1:1,-0.3847046994970179,44,1
4:0,33:2,-0.1285331919675999,75,1
8:0,35:2,0.8,113,1
35:2,1:1,-0.3666539739411794,70,1
17:0,33:2,-0.47255469820873797,37,0
31:0,34:2,0.08901875155568115,52,1
24:0,36:2,0.6000000000000001,185,0
36:2,1:1,-0.22598722232161444,110,1
15:0,33:2,-0.47990134898141096,50,1
28:0,35:2,0.22348220040730823,104,1
24:0,37:2,0.9,123,1
37:2,36:2,1.0,223,1
6:0,37:2,-0.30203820576345436,173,1
